	sample	tool	precision	recall	f1	uniformity_entropy	uniformity_var
0	MagNA1	phanta	1.0	0.6666666666666666	0.8	0.6405847845702763	0.10413635107087714
1	MagNA2	phanta	1.0	0.6666666666666666	0.8	0.38711165192222563	0.12047907713062754
2	Qiagen1	phanta	1.0	0.5	0.6666666666666666	0.1752658576091561	0.1306993745306909
3	Qiagen2	phanta	1.0	0.5	0.6666666666666666	0.09494366951037994	0.13505785452050087
4	MagNA1	metabuli	1.0	0.8333333333333334	0.9090909090909091	0.7184495985724413	0.10197639323087195
5	MagNA2	metabuli	1.0	0.8333333333333334	0.9090909090909091	0.5460180100109978	0.11333281545135766
6	Qiagen1	metabuli	1.0	0.8333333333333334	0.9090909090909091	0.21227906141222103	0.12985251033840997
7	Qiagen2	metabuli	1.0	0.8333333333333334	0.9090909090909091	0.11653397313540181	0.1345269207535341
8	MagNA1	ganon	1.0	0.6666666666666666	0.8	0.7515374930763221	0.09605320985203934
9	MagNA2	ganon	1.0	0.6666666666666666	0.8	0.5678851149530787	0.11003842846888912
10	Qiagen1	ganon	1.0	0.6666666666666666	0.8	0.2737290885797963	0.1253859320551175
11	Qiagen2	ganon	1.0	0.6666666666666666	0.8	0.14517350387907565	0.1327516463370731
12	MagNA1	vita	1.0	0.8333333333333334	0.9090909090909091	0.7081546889261664	0.10212416608171826
13	MagNA2	vita	1.0	0.8333333333333334	0.9090909090909091	0.5293864000849182	0.11395938737227063
14	Qiagen1	vita	1.0	0.8333333333333334	0.9090909090909091	0.21326620634577034	0.1296914387914756
15	Qiagen2	vita	1.0	0.8333333333333334	0.9090909090909091	0.11552447862551965	0.13451683159483727
